OrderID,ProductID,ProductName,Category,QuantitySold,SellingPrice,DateOfSale,CustomerID,CustomerName,ContactEmail,PhoneNumber,DeliveryAddress,DeliveryDate,DeliveryStatus,Platform,PrimeDelivery,WarehouseLocation
AMA-158265,PID-7338,Shoes,Accessories,5,800.29,2023-01-19,CUST-5703,Sam,customer513@example.com,+91-7718940055,"449 Street, City-68, State-3",2023-01-23,In Transit,Amazon,True,North
AMA-515744,PID-9271,Shoes,Accessories,4,134.2,2023-01-20,CUST-7144,Jane,customer883@example.com,+91-8748985895,"376 Street, City-24, State-21",2023-01-24,In Transit,Amazon,False,North
AMA-732120,PID-3513,Laptop,Books,8,273.55,2023-01-21,CUST-6726,Alex,customer493@example.com,+91-9420081560,"187 Street, City-48, State-17",2023-01-25,Delivered,Amazon,False,North
AMA-514862,PID-4298,Headphones,Books,4,106.53,2023-01-22,CUST-5223,Chris,customer918@example.com,+91-7767319517,"223 Street, City-15, State-2",2023-01-26,Delivered,Amazon,False,East
AMA-432961,PID-2873,Headphones,Electronics,5,417.23,2023-01-23,CUST-2540,John,customer528@example.com,+91-8180990902,"285 Street, City-6, State-23",2023-01-27,In Transit,Amazon,False,South
AMA-846333,PID-9596,Shoes,Fashion,4,558.79,2023-01-24,CUST-4483,Chris,customer832@example.com,+91-7304223376,"145 Street, City-37, State-8",2023-01-28,Cancelled,Amazon,True,South
AMA-420289,PID-1130,Book,Electronics,6,755.71,2023-01-25,CUST-5907,Taylor,customer142@example.com,+91-7902327202,"95 Street, City-83, State-14",2023-01-29,Cancelled,Amazon,True,North
AMA-928658,PID-8453,Phone,Accessories,2,859.22,2023-01-26,CUST-7670,Alex,customer977@example.com,+91-8266719037,"136 Street, City-53, State-2",2023-01-30,Cancelled,Amazon,True,West
AMA-188936,PID-8362,Headphones,Electronics,4,412.59,2023-01-27,CUST-4906,Chris,customer92@example.com,+91-9470284179,"10 Street, City-18, State-18",2023-01-31,Delivered,Amazon,False,North
AMA-128174,PID-6965,Phone,Electronics,9,465.09,2023-01-28,CUST-2418,Chris,customer418@example.com,+91-7705651986,"234 Street, City-24, State-10",2023-02-01,Cancelled,Amazon,True,South
AMA-703018,PID-3929,Laptop,Accessories,8,894.51,2023-01-29,CUST-7771,Jane,customer875@example.com,+91-7095731743,"282 Street, City-10, State-23",2023-02-02,Delivered,Amazon,True,South
AMA-124187,PID-9887,Laptop,Fashion,4,850.72,2023-01-30,CUST-1611,Sam,customer949@example.com,+91-9954218158,"460 Street, City-28, State-17",2023-02-03,Cancelled,Amazon,True,West
AMA-651001,PID-7120,Book,Fashion,8,452.46,2023-01-31,CUST-8124,Alex,customer972@example.com,+91-8269506175,"340 Street, City-82, State-13",2023-02-04,In Transit,Amazon,False,West
AMA-379043,PID-1972,Phone,Accessories,5,596.62,2023-02-01,CUST-6490,Jane,customer762@example.com,+91-8907576575,"439 Street, City-90, State-23",2023-02-05,Cancelled,Amazon,True,North
AMA-940313,PID-9112,Shoes,Accessories,6,305.73,2023-02-02,CUST-6182,Alex,customer18@example.com,+91-7563915532,"352 Street, City-28, State-2",2023-02-06,Delivered,Amazon,False,East
AMA-488446,PID-5334,Headphones,Electronics,3,586.69,2023-02-03,CUST-7620,Jane,customer360@example.com,+91-9252869418,"58 Street, City-2, State-26",2023-02-07,Delivered,Amazon,True,West
AMA-113428,PID-5911,Headphones,Accessories,9,368.35,2023-02-04,CUST-3241,Sam,customer184@example.com,+91-7790292100,"139 Street, City-55, State-4",2023-02-08,Delivered,Amazon,False,West
AMA-539002,PID-7348,Book,Fashion,3,203.16,2023-02-05,CUST-2098,Jane,customer899@example.com,+91-9882903884,"454 Street, City-67, State-12",2023-02-09,Cancelled,Amazon,False,North
AMA-627368,PID-7794,Watch,Books,7,692.75,2023-02-06,CUST-4647,Jane,customer930@example.com,+91-7844841127,"25 Street, City-67, State-5",2023-02-10,Cancelled,Amazon,False,East
AMA-265200,PID-7047,Laptop,Accessories,9,415.82,2023-02-07,CUST-8040,Taylor,customer513@example.com,+91-9527421035,"286 Street, City-55, State-17",2023-02-11,Cancelled,Amazon,False,East
AMA-922715,PID-5055,Headphones,Electronics,8,385.85,2023-02-08,CUST-2685,Jane,customer619@example.com,+91-8983568963,"347 Street, City-57, State-27",2023-02-12,In Transit,Amazon,True,East
AMA-251276,PID-2725,Book,Accessories,10,236.79,2023-02-09,CUST-3198,Jane,customer638@example.com,+91-9686474665,"88 Street, City-63, State-4",2023-02-13,Delivered,Amazon,False,North
AMA-379927,PID-2777,Headphones,Accessories,7,982.04,2023-02-10,CUST-5965,Sam,customer357@example.com,+91-9999814883,"70 Street, City-36, State-18",2023-02-14,Cancelled,Amazon,False,West
AMA-206626,PID-1003,Laptop,Electronics,5,285.6,2023-02-11,CUST-9732,Jane,customer426@example.com,+91-8637196802,"7 Street, City-2, State-24",2023-02-15,Delivered,Amazon,False,West
AMA-863475,PID-4249,Book,Accessories,8,780.5,2023-02-12,CUST-9954,Jane,customer135@example.com,+91-9025550815,"115 Street, City-24, State-21",2023-02-16,Delivered,Amazon,True,South
AMA-332000,PID-5710,Watch,Books,2,408.13,2023-02-13,CUST-6274,John,customer711@example.com,+91-9565586046,"361 Street, City-10, State-19",2023-02-17,Delivered,Amazon,True,South
AMA-699624,PID-8660,Shoes,Electronics,7,521.29,2023-02-14,CUST-2754,Sam,customer753@example.com,+91-8353236295,"252 Street, City-7, State-13",2023-02-18,Cancelled,Amazon,False,West
AMA-234066,PID-5185,Phone,Books,5,893.37,2023-02-15,CUST-8065,Chris,customer293@example.com,+91-7348275521,"36 Street, City-40, State-21",2023-02-19,In Transit,Amazon,False,East
AMA-192425,PID-6358,Headphones,Books,3,217.8,2023-02-16,CUST-3456,Taylor,customer223@example.com,+91-8227483140,"192 Street, City-67, State-11",2023-02-20,Delivered,Amazon,False,South
AMA-704769,PID-7035,Watch,Electronics,6,304.68,2023-02-17,CUST-3876,Alex,customer914@example.com,+91-8211301446,"142 Street, City-28, State-10",2023-02-21,In Transit,Amazon,True,East
AMA-160444,PID-2789,Laptop,Books,8,349.13,2023-02-18,CUST-9376,John,customer455@example.com,+91-7822770656,"263 Street, City-78, State-2",2023-02-22,Delivered,Amazon,False,West
AMA-599085,PID-1148,Phone,Books,4,857.73,2023-02-19,CUST-8419,Chris,customer483@example.com,+91-9699967236,"129 Street, City-1, State-7",2023-02-23,In Transit,Amazon,True,South
AMA-321861,PID-8486,Watch,Accessories,7,270.8,2023-02-20,CUST-3724,Jane,customer583@example.com,+91-9291636734,"342 Street, City-93, State-7",2023-02-24,In Transit,Amazon,False,East
AMA-321020,PID-7306,Laptop,Electronics,4,761.0,2023-02-21,CUST-2389,Sam,customer243@example.com,+91-9425310695,"465 Street, City-80, State-17",2023-02-25,Cancelled,Amazon,True,North
AMA-586102,PID-6622,Shoes,Books,4,874.09,2023-02-22,CUST-9899,John,customer467@example.com,+91-9434672076,"434 Street, City-59, State-3",2023-02-26,Cancelled,Amazon,False,West
AMA-750695,PID-3242,Book,Electronics,3,916.94,2023-02-23,CUST-1352,Taylor,customer90@example.com,+91-9269181705,"320 Street, City-59, State-20",2023-02-27,In Transit,Amazon,False,West
AMA-397123,PID-7719,Shoes,Accessories,1,912.55,2023-02-24,CUST-9709,Jane,customer331@example.com,+91-8819439891,"313 Street, City-54, State-13",2023-02-28,In Transit,Amazon,False,West
AMA-942228,PID-1009,Laptop,Accessories,9,757.8,2023-02-25,CUST-8235,Alex,customer455@example.com,+91-7102234351,"426 Street, City-57, State-15",2023-03-01,In Transit,Amazon,True,South
AMA-683552,PID-2835,Book,Accessories,1,856.77,2023-02-26,CUST-1639,Alex,customer281@example.com,+91-7741220161,"488 Street, City-64, State-17",2023-03-02,In Transit,Amazon,True,South
AMA-914316,PID-4359,Shoes,Accessories,1,870.66,2023-02-27,CUST-9277,Jane,customer830@example.com,+91-8106304251,"324 Street, City-64, State-11",2023-03-03,Delivered,Amazon,False,South
AMA-407361,PID-5557,Laptop,Accessories,1,629.3,2023-02-28,CUST-2988,Taylor,customer347@example.com,+91-8548559031,"328 Street, City-28, State-17",2023-03-04,In Transit,Amazon,False,East
AMA-906784,PID-6768,Book,Fashion,5,606.06,2023-03-01,CUST-9898,Chris,customer942@example.com,+91-8618138234,"33 Street, City-77, State-27",2023-03-05,Cancelled,Amazon,True,East
AMA-470095,PID-2989,Watch,Books,4,531.53,2023-03-02,CUST-3834,Chris,customer267@example.com,+91-9264362767,"32 Street, City-83, State-21",2023-03-06,In Transit,Amazon,False,South
AMA-830715,PID-4114,Phone,Accessories,3,615.91,2023-03-03,CUST-8942,Chris,customer102@example.com,+91-7031228536,"324 Street, City-22, State-18",2023-03-07,Cancelled,Amazon,False,East
AMA-927571,PID-2731,Headphones,Electronics,6,242.22,2023-03-04,CUST-8596,John,customer655@example.com,+91-8028988307,"140 Street, City-44, State-17",2023-03-08,Cancelled,Amazon,False,North
AMA-265842,PID-1391,Book,Fashion,7,850.38,2023-03-05,CUST-6920,Chris,customer544@example.com,+91-9608645853,"311 Street, City-75, State-11",2023-03-09,Cancelled,Amazon,True,South
AMA-585585,PID-5894,Phone,Accessories,1,354.81,2023-03-06,CUST-7398,Taylor,customer258@example.com,+91-9097499681,"160 Street, City-8, State-7",2023-03-10,In Transit,Amazon,False,South
AMA-984435,PID-1061,Phone,Fashion,10,463.33,2023-03-07,CUST-1813,Chris,customer324@example.com,+91-9019273444,"249 Street, City-26, State-1",2023-03-11,Delivered,Amazon,True,East
AMA-201886,PID-2291,Book,Accessories,5,794.44,2023-03-08,CUST-3695,Chris,customer657@example.com,+91-8220045028,"17 Street, City-11, State-30",2023-03-12,In Transit,Amazon,True,North
AMA-900313,PID-5522,Shoes,Fashion,7,969.92,2023-03-09,CUST-2283,Chris,customer773@example.com,+91-9100746275,"380 Street, City-48, State-18",2023-03-13,Cancelled,Amazon,False,North
AMA-695215,PID-9165,Book,Electronics,5,930.91,2023-03-10,CUST-4664,John,customer834@example.com,+91-7835623973,"162 Street, City-44, State-29",2023-03-14,Delivered,Amazon,True,East
AMA-672516,PID-3268,Phone,Books,6,171.7,2023-03-11,CUST-5034,Chris,customer194@example.com,+91-7066523975,"485 Street, City-78, State-1",2023-03-15,Delivered,Amazon,True,West
AMA-434699,PID-6429,Book,Accessories,4,890.79,2023-03-12,CUST-3696,Jane,customer954@example.com,+91-8246993441,"74 Street, City-40, State-11",2023-03-16,In Transit,Amazon,True,South
AMA-733424,PID-6416,Laptop,Electronics,1,255.78,2023-03-13,CUST-6603,Chris,customer373@example.com,+91-8852402075,"262 Street, City-62, State-24",2023-03-17,Cancelled,Amazon,False,South
AMA-775930,PID-6345,Watch,Books,3,542.17,2023-03-14,CUST-9831,John,customer72@example.com,+91-8288022784,"400 Street, City-38, State-18",2023-03-18,In Transit,Amazon,True,West
AMA-103499,PID-5926,Laptop,Electronics,10,279.18,2023-03-15,CUST-4654,Jane,customer418@example.com,+91-9229674334,"101 Street, City-9, State-22",2023-03-19,Cancelled,Amazon,True,South
AMA-832107,PID-6158,Shoes,Books,2,476.51,2023-03-16,CUST-3355,Taylor,customer491@example.com,+91-9885779054,"187 Street, City-85, State-5",2023-03-20,In Transit,Amazon,True,North
AMA-847918,PID-9724,Shoes,Accessories,4,788.42,2023-03-17,CUST-9202,John,customer85@example.com,+91-8597333851,"155 Street, City-79, State-29",2023-03-21,Delivered,Amazon,False,West
AMA-424044,PID-4768,Book,Fashion,8,227.35,2023-03-18,CUST-1026,Sam,customer556@example.com,+91-7374834373,"491 Street, City-59, State-16",2023-03-22,Cancelled,Amazon,True,South
AMA-241708,PID-1447,Book,Books,10,191.29,2023-03-19,CUST-7053,Chris,customer532@example.com,+91-8502970055,"414 Street, City-46, State-29",2023-03-23,In Transit,Amazon,True,East
AMA-106530,PID-2750,Shoes,Accessories,10,909.89,2023-03-20,CUST-8331,Taylor,customer449@example.com,+91-9332037774,"288 Street, City-90, State-26",2023-03-24,In Transit,Amazon,False,West
AMA-248470,PID-1966,Laptop,Accessories,4,181.54,2023-03-21,CUST-9316,Alex,customer829@example.com,+91-9393150465,"250 Street, City-90, State-13",2023-03-25,In Transit,Amazon,False,North
AMA-422361,PID-5262,Phone,Books,7,599.83,2023-03-22,CUST-8802,Jane,customer834@example.com,+91-7122108219,"258 Street, City-71, State-11",2023-03-26,Cancelled,Amazon,False,North
AMA-896155,PID-8554,Book,Fashion,2,961.28,2023-03-23,CUST-7784,Jane,customer93@example.com,+91-8052364289,"102 Street, City-78, State-16",2023-03-27,In Transit,Amazon,True,West
AMA-414444,PID-9948,Headphones,Fashion,2,248.08,2023-03-24,CUST-1353,Alex,customer611@example.com,+91-9652264178,"271 Street, City-24, State-25",2023-03-28,In Transit,Amazon,False,West
AMA-592787,PID-6152,Watch,Books,7,583.39,2023-03-25,CUST-8779,Sam,customer485@example.com,+91-9472977955,"246 Street, City-3, State-30",2023-03-29,Delivered,Amazon,True,East
AMA-310374,PID-3462,Laptop,Accessories,6,967.44,2023-03-26,CUST-9976,Chris,customer796@example.com,+91-9276056660,"430 Street, City-88, State-22",2023-03-30,Delivered,Amazon,False,North
AMA-769513,PID-3453,Watch,Fashion,5,777.21,2023-03-27,CUST-5183,Taylor,customer643@example.com,+91-7529734856,"471 Street, City-92, State-6",2023-03-31,Delivered,Amazon,True,East
AMA-314000,PID-6605,Phone,Electronics,2,653.47,2023-03-28,CUST-2814,Chris,customer534@example.com,+91-8317946902,"70 Street, City-49, State-23",2023-04-01,Delivered,Amazon,True,South
AMA-492838,PID-5579,Book,Electronics,6,132.57,2023-03-29,CUST-1341,Taylor,customer755@example.com,+91-9944471688,"181 Street, City-32, State-6",2023-04-02,Delivered,Amazon,True,South
AMA-232981,PID-5102,Watch,Accessories,8,856.73,2023-03-30,CUST-5474,Taylor,customer841@example.com,+91-9678812230,"39 Street, City-83, State-10",2023-04-03,Cancelled,Amazon,True,West
AMA-484977,PID-4740,Headphones,Books,3,894.9,2023-03-31,CUST-8177,Taylor,customer958@example.com,+91-9136801436,"185 Street, City-57, State-5",2023-04-04,Delivered,Amazon,True,South
AMA-522658,PID-3864,Watch,Fashion,9,662.34,2023-04-01,CUST-1728,Taylor,customer191@example.com,+91-8926788445,"480 Street, City-19, State-22",2023-04-05,Delivered,Amazon,False,West
AMA-483853,PID-2758,Phone,Electronics,2,782.14,2023-04-02,CUST-2931,John,customer510@example.com,+91-9559043166,"397 Street, City-67, State-4",2023-04-06,Cancelled,Amazon,True,East
AMA-612311,PID-5808,Phone,Electronics,10,699.13,2023-04-03,CUST-7347,Alex,customer222@example.com,+91-8419776325,"173 Street, City-2, State-1",2023-04-07,In Transit,Amazon,True,West
AMA-212514,PID-6635,Watch,Electronics,7,335.96,2023-04-04,CUST-2209,John,customer811@example.com,+91-8523048859,"153 Street, City-99, State-14",2023-04-08,In Transit,Amazon,True,West
AMA-856166,PID-7491,Headphones,Accessories,2,590.32,2023-04-05,CUST-7223,Sam,customer306@example.com,+91-9169344648,"118 Street, City-76, State-14",2023-04-09,Cancelled,Amazon,False,South
AMA-391400,PID-1745,Watch,Books,6,771.76,2023-04-06,CUST-3813,John,customer202@example.com,+91-8594814377,"206 Street, City-15, State-3",2023-04-10,Cancelled,Amazon,True,West
AMA-415416,PID-6070,Watch,Books,5,711.11,2023-04-07,CUST-3237,Sam,customer673@example.com,+91-7436637138,"346 Street, City-44, State-3",2023-04-11,In Transit,Amazon,False,South
AMA-149657,PID-5989,Phone,Books,1,970.2,2023-04-08,CUST-3209,Sam,customer850@example.com,+91-9269341639,"103 Street, City-17, State-27",2023-04-12,Delivered,Amazon,False,South
AMA-955427,PID-7341,Watch,Electronics,9,624.14,2023-04-09,CUST-2330,Chris,customer885@example.com,+91-7227466306,"102 Street, City-77, State-6",2023-04-13,Delivered,Amazon,True,South
AMA-645119,PID-4135,Phone,Books,2,852.54,2023-04-10,CUST-1367,Sam,customer587@example.com,+91-9766245301,"392 Street, City-35, State-2",2023-04-14,In Transit,Amazon,True,West
AMA-212254,PID-6615,Watch,Accessories,8,117.98,2023-04-11,CUST-1976,Taylor,customer268@example.com,+91-7799670908,"362 Street, City-20, State-26",2023-04-15,In Transit,Amazon,True,South
AMA-968855,PID-4397,Watch,Fashion,5,133.66,2023-04-12,CUST-6511,John,customer345@example.com,+91-8437600734,"131 Street, City-6, State-11",2023-04-16,Cancelled,Amazon,False,North
AMA-287624,PID-2573,Watch,Electronics,9,712.53,2023-04-13,CUST-5557,Alex,customer423@example.com,+91-7059918461,"13 Street, City-61, State-7",2023-04-17,Delivered,Amazon,True,North
AMA-932106,PID-4531,Headphones,Books,9,142.45,2023-04-14,CUST-8786,Taylor,customer475@example.com,+91-8128962413,"334 Street, City-34, State-15",2023-04-18,Delivered,Amazon,False,East
AMA-295041,PID-6914,Book,Accessories,9,955.97,2023-04-15,CUST-3867,Sam,customer4@example.com,+91-7926510001,"164 Street, City-55, State-5",2023-04-19,Cancelled,Amazon,False,West
AMA-851215,PID-6848,Headphones,Books,3,563.97,2023-04-16,CUST-1043,Sam,customer995@example.com,+91-7365460924,"410 Street, City-45, State-20",2023-04-20,In Transit,Amazon,False,South
AMA-244088,PID-7198,Laptop,Electronics,9,943.42,2023-04-17,CUST-2185,Sam,customer361@example.com,+91-9610988696,"102 Street, City-39, State-29",2023-04-21,Delivered,Amazon,True,East
AMA-855039,PID-2592,Book,Fashion,9,363.96,2023-04-18,CUST-2709,Jane,customer733@example.com,+91-7850408318,"335 Street, City-18, State-19",2023-04-22,Delivered,Amazon,False,West
AMA-932954,PID-4942,Laptop,Books,4,195.07,2023-04-19,CUST-9450,Chris,customer374@example.com,+91-8905905489,"255 Street, City-31, State-14",2023-04-23,Cancelled,Amazon,True,South
AMA-680025,PID-3577,Book,Electronics,3,547.06,2023-04-20,CUST-3469,Sam,customer679@example.com,+91-8631426496,"114 Street, City-38, State-30",2023-04-24,Delivered,Amazon,False,West
AMA-150632,PID-1549,Laptop,Electronics,2,756.08,2023-04-21,CUST-3501,Jane,customer594@example.com,+91-7560131128,"419 Street, City-24, State-19",2023-04-25,Delivered,Amazon,True,East
AMA-532722,PID-1032,Laptop,Accessories,3,633.78,2023-04-22,CUST-3308,Chris,customer521@example.com,+91-9828419124,"349 Street, City-19, State-10",2023-04-26,In Transit,Amazon,True,North
AMA-437581,PID-7033,Phone,Fashion,6,820.54,2023-04-23,CUST-3666,Taylor,customer887@example.com,+91-7467207674,"450 Street, City-14, State-9",2023-04-27,Delivered,Amazon,True,North
AMA-275689,PID-8662,Laptop,Books,1,243.4,2023-04-24,CUST-1309,Chris,customer190@example.com,+91-7043778687,"247 Street, City-58, State-19",2023-04-28,Delivered,Amazon,True,South
AMA-793469,PID-5665,Shoes,Accessories,4,684.15,2023-04-25,CUST-1974,Jane,customer762@example.com,+91-9704182737,"298 Street, City-77, State-25",2023-04-29,Delivered,Amazon,True,South
AMA-391359,PID-4489,Book,Books,10,903.85,2023-04-26,CUST-3264,Chris,customer642@example.com,+91-9805301810,"445 Street, City-76, State-25",2023-04-30,Cancelled,Amazon,True,North
AMA-273921,PID-1197,Watch,Accessories,9,624.21,2023-04-27,CUST-7951,Taylor,customer305@example.com,+91-9184602537,"181 Street, City-22, State-12",2023-05-01,Delivered,Amazon,False,East
AMA-737508,PID-3682,Book,Books,5,864.62,2023-04-28,CUST-8109,Jane,customer835@example.com,+91-9405587404,"479 Street, City-74, State-12",2023-05-02,In Transit,Amazon,True,North
AMA-494186,PID-2522,Headphones,Electronics,3,762.13,2023-04-29,CUST-7995,Sam,customer368@example.com,+91-7166768198,"204 Street, City-13, State-23",2023-05-03,Cancelled,Amazon,True,North
AMA-707748,PID-3879,Book,Accessories,1,194.15,2023-04-30,CUST-3954,Taylor,customer535@example.com,+91-8185221934,"383 Street, City-53, State-9",2023-05-04,Delivered,Amazon,False,East
AMA-579444,PID-5647,Book,Accessories,3,632.31,2023-05-01,CUST-4360,Sam,customer336@example.com,+91-9854636576,"113 Street, City-30, State-11",2023-05-05,In Transit,Amazon,False,North
AMA-476936,PID-1062,Shoes,Books,7,457.62,2023-05-02,CUST-7362,Chris,customer170@example.com,+91-9284807763,"360 Street, City-27, State-17",2023-05-06,In Transit,Amazon,False,South
AMA-267850,PID-9001,Laptop,Electronics,7,903.45,2023-05-03,CUST-9455,Alex,customer345@example.com,+91-9261679289,"22 Street, City-46, State-21",2023-05-07,In Transit,Amazon,False,North
AMA-946139,PID-9122,Shoes,Fashion,6,951.45,2023-05-04,CUST-6197,John,customer354@example.com,+91-9008024080,"482 Street, City-95, State-2",2023-05-08,Cancelled,Amazon,True,North
AMA-241560,PID-8369,Shoes,Electronics,9,876.93,2023-05-05,CUST-1401,Alex,customer347@example.com,+91-8309481048,"89 Street, City-70, State-2",2023-05-09,Cancelled,Amazon,True,North
AMA-741124,PID-5717,Laptop,Books,5,463.98,2023-05-06,CUST-4196,Sam,customer73@example.com,+91-8540231527,"309 Street, City-36, State-15",2023-05-10,Delivered,Amazon,False,West
AMA-110889,PID-9941,Headphones,Books,1,456.88,2023-05-07,CUST-5511,Alex,customer61@example.com,+91-7454815241,"208 Street, City-97, State-14",2023-05-11,In Transit,Amazon,False,East
AMA-525365,PID-4455,Shoes,Accessories,7,661.85,2023-05-08,CUST-3836,Taylor,customer826@example.com,+91-7936427415,"197 Street, City-49, State-16",2023-05-12,Cancelled,Amazon,True,East
AMA-187490,PID-7771,Phone,Fashion,9,626.19,2023-05-09,CUST-6785,John,customer225@example.com,+91-9353005504,"449 Street, City-36, State-30",2023-05-13,Cancelled,Amazon,True,East
AMA-628426,PID-1597,Phone,Accessories,2,402.27,2023-05-10,CUST-5568,Sam,customer828@example.com,+91-9026009416,"177 Street, City-24, State-29",2023-05-14,Delivered,Amazon,False,East
AMA-658697,PID-2366,Shoes,Books,8,612.35,2023-05-11,CUST-6645,Taylor,customer912@example.com,+91-9407847272,"235 Street, City-23, State-25",2023-05-15,Cancelled,Amazon,False,West
AMA-494098,PID-2736,Laptop,Fashion,8,434.97,2023-05-12,CUST-5993,John,customer621@example.com,+91-7636359898,"255 Street, City-16, State-26",2023-05-16,Delivered,Amazon,False,North
AMA-652981,PID-1208,Headphones,Electronics,9,188.33,2023-05-13,CUST-6638,Jane,customer627@example.com,+91-9202053603,"18 Street, City-82, State-12",2023-05-17,In Transit,Amazon,False,East
AMA-219932,PID-1710,Phone,Accessories,10,244.09,2023-05-14,CUST-4513,Alex,customer670@example.com,+91-9582643213,"232 Street, City-83, State-14",2023-05-18,Cancelled,Amazon,True,West
AMA-504831,PID-4487,Phone,Books,10,164.58,2023-05-15,CUST-1746,Taylor,customer371@example.com,+91-9760456210,"173 Street, City-65, State-20",2023-05-19,Cancelled,Amazon,False,North
AMA-808813,PID-2090,Watch,Fashion,9,549.16,2023-05-16,CUST-3554,Taylor,customer117@example.com,+91-8760114464,"88 Street, City-37, State-7",2023-05-20,Delivered,Amazon,True,South
AMA-265196,PID-8998,Phone,Books,3,467.68,2023-05-17,CUST-4870,John,customer948@example.com,+91-9486365838,"145 Street, City-52, State-3",2023-05-21,Delivered,Amazon,True,North
AMA-739531,PID-3728,Headphones,Books,3,660.35,2023-05-18,CUST-2728,Sam,customer585@example.com,+91-8531419672,"324 Street, City-40, State-27",2023-05-22,Delivered,Amazon,False,North
AMA-474675,PID-7005,Headphones,Books,4,884.95,2023-05-19,CUST-8716,Sam,customer797@example.com,+91-8092195963,"191 Street, City-96, State-11",2023-05-23,In Transit,Amazon,False,East
AMA-529331,PID-9797,Watch,Books,4,751.46,2023-05-20,CUST-8897,John,customer444@example.com,+91-7746974521,"347 Street, City-14, State-29",2023-05-24,Delivered,Amazon,False,East
AMA-188915,PID-8458,Headphones,Books,3,552.84,2023-05-21,CUST-5030,John,customer956@example.com,+91-7514809030,"74 Street, City-6, State-22",2023-05-25,Cancelled,Amazon,True,North
